repo	version	path	tool_id	sha256
amadeo/amadeo	fe377efdd4cc	Tools/CREF/extract_motifs_codes.xml	extract_motifs_codes	5757fe219ec08b54b1357a5fd1aab893a4ba64cd66fb656e563ded9efc3da64a
amadeo/amadeo	fe377efdd4cc	Tools/CREF/extract_motifs_subset.xml	extract_motifs_subset	8f6fb7a9852746ef5e9edd2de9cc1deb84e47dbcd2efe9db1090bf975d7ae379
amadeo/amadeo	fe377efdd4cc	Tools/CREF/list_motifs.xml	list_motifs	1442c8199239b10172857b9498ec1d21f896a677deee7a9a72ab775e8763e533
amadeo/amadeo	fe377efdd4cc	Tools/CREF/short-headers.xml	shorten_headers	cfc6592930639b225bcbc791e80324580cc9940e1674e0c5b09fce45b3248fc6
amadeo/amadeo	fe377efdd4cc	Tools/First_version/remove_motifs_overlaped.xml	remove_same_motifs	9f82a66771b567ad1108411b3735d0c644482d010b3a5872163e5ebeb277ffa3
amadeo/amadeo	fe377efdd4cc	Tools/First_version/sorting_first.xml	sorting_by_position	0bb6ac466d7f8f5611525a76f1382e34e88efc0289bb7bf8963f06db28d70ab7
amadeo/amadeo	fe377efdd4cc	Tools/Matrix/matrix_generator.xml	matrix_generator	9342d631865d86fdfaa79181cd8788704a1ce58189082ebd106eaccf0bf4def3
amadeo/amadeo	fe377efdd4cc	Tools/Motif_search/motif_search_galaxy.xml	motif_searcher	b94ae05ab41ccbb18429bd396cd771a59e700f06bfe9db38664a3528cec5bf10
amadeo/amadeo	fe377efdd4cc	Tools/Motif_search/rules.xml	rules1	5ba9bb54f7f5a6fb1e7fed7516542d196d2694da188e598ee405bef2cb0c1375
amadeo/amadeo	fe377efdd4cc	Tools/Motif_search/sort_genes_galaxy.xml	sort_genes	fab98f068cc6b12e71b30a2671a4a7e2c3abc7e889cbea0d0c4377c563b78ebb
amadeo/amadeo	fe377efdd4cc	Tools/Motif_search/sort_positions_galaxy.xml	sort_positions	bf72bb88800cec2d053d9731d7570a57fd5941dd264bc9fc35d43c4df36ff2e6
amadeo/amadeo	fe377efdd4cc	Tools/Motif_search/testrules_galaxy.xml	test_rules	bfd67b520d95524d7c2ac7c30a0f66da2077f652ee58d7696ab9a461fb8f8fcd
amadeo/amadeo	fe377efdd4cc	Tools/Second/remove_motifs_v2.xml	remove_same_dif_motifs	1a08624a3c17b57336b341b375bd443155dc79ef75c5e4a37a5722b0dd0c0267
amadeo/amadeo	fe377efdd4cc	Tools/Second/step1.xml	step1	87ad444cc7fbf9d6ea3979f28083f91c19f2f42ef06ea64abb578fddbe517143
amadeo/amadeo	fe377efdd4cc	Tools/Second/step2.xml	step2	aa6be9fbc696fa11a58cba9ece3f4e0e4204ba206acf5453f12ce79bb7345381
amawla/edger	a8a56766694e	edgeR.xml	edgeR	06b7fbb69b11ac2995ed025cc1c7d95beb51e53e1536cbef2460547112030595
ambarishk/mytoolshed	9cc0f9a8912e	tool1/tool1.xml	tool1	0927c4a60127f8df137c9c972460278800150d088b4fbfb312737c25bf58f71f
amol/cmpfastq	9aa4873089df	cmpfastq.xml	cmpfastq	d9cf7f998181a18a574c90ec03b216db3328bd03ec8b657eec644273aa34501b
andreu/qcma	55561a945415	HumMeth27QCReport/HumMeth27QCReport.xml	qcma	ebb4df7e9a8c6c55f3541685c2d25daf5d7271a5d53986cf59785cc3e54c93ab
anmoljh/activity_files_merge	0a71d32d6e51	merge_activity_files.xml	merge_activity_files	b6d62049733fd4813a2c5b3dd3bfd656e1849076adcc8b9412dad6fa2e4dd516
